name,price,link,discounts
SKECHERS Patike max protect M,"14.499,99 RSD",https://planetasport.rs/patike-max-protect-m-237304-bbk.html,"['-20%', '-20%']"
ADIDAS Cipele terrex ax3 mid gtx M,"18.999,99 RSD",https://planetasport.rs/cipele-terrex-ax3-mid-gtx-m-bc0466.html,"['-30%', '-40%']"
ADIDAS Cipele terrex ax3 mid gtx M,"17.999,99 RSD",https://planetasport.rs/cipele-terrex-ax3-mid-gtx-m-if4876.html,"['-40%', '-40%']"
WINTRO Cipele fidias M,"10.999,99 RSD",https://planetasport.rs/wintro-wintro-cipele-fidias-m-wif243m305-01.html,"['-43%', '-20%']"
WINTRO Cipele philo M,"10.499,99 RSD",https://planetasport.rs/wintro-wintro-cipele-philo-m-wif243m309-01.html,"['-40%', '-20%']"
RANG Jakna zane jacket M,"12.299,99 RSD",https://planetasport.rs/rang-rang-jakna-zane-jacket-m-f249m04-02.html,"['-39%', '-20%']"
WINTRO Cipele sylas M,"11.999,99 RSD",https://planetasport.rs/cipele-sylas-m-wif233m202-62.html,"['-50%', '-50%']"
SKECHERS Patike delson M,"10.999,99 RSD",https://planetasport.rs/patike-delson-m-65801-choc.html,"['-30%', '-20%']"
RANG Cipele igor M,"8.999,99 RSD",https://planetasport.rs/rang-rang-cipele-igor-m-xmf24104-02.html,"['-30%', '-30%']"
SERGIO TACCHINI Patike motion M,"10.999,99 RSD",https://planetasport.rs/patike-motion-m-stm325500-03.html,"['-30%', '-20%']"
SKECHERS Patike delson M,"10.999,99 RSD",https://planetasport.rs/patike-delson-m-65801-blk.html,"['-30%', '-20%']"
NIKE Cipele manoa leather M,"14.199,99 RSD",https://planetasport.rs/cipele-manoa-leather-m-454350-003.html,"['-40%', '-40%']"
NEW BALANCE patike 574 M,"11.999,99 RSD",https://planetasport.rs/patike-574-m-ml574eve.html,"['-20%', '-20%']"
SKECHERS Patike max protect M,"14.499,99 RSD",https://planetasport.rs/patike-max-protect-m-237304-olbk.html,"['-30%', '-20%']"
SLAZENGER Cipele saylor M,"8.999,99 RSD",https://planetasport.rs/cipele-saylor-m-slf233m208-62.html,"['-35%', '-40%']"
ADIDAS Cipele terrex tracerocker 2 gtx M,"14.399,99 RSD",https://planetasport.rs/cipele-terrex-tracerocker-2-gtx-m-ie9400.html,"['-40%', '-40%']"
GRI SPORT cipele taragon M,"9.999,99 RSD",https://planetasport.rs/cipele-taragon-m-11584d21g.html,"['-50%', '-50%']"
ADIDAS Trenerka m 3s tr tt ts M,"8.999,99 RSD",https://planetasport.rs/trenerka-m-3s-tr-tt-ts-m-hz2220.html,"['-30%', '-20%']"
NIKE Cipele manoa leather M,"14.199,99 RSD",https://planetasport.rs/cipele-manoa-leather-m-454350-700.html,"['-30%', '-40%']"
SKECHERS Patike uno stand on air M,"10.499,99 RSD",https://planetasport.rs/patike-uno-stand-on-air-m-52458-bbk.html,"['-20%', '-30%']"
NIKE Trenerka m nk club pk trk suit M,"10.599,99 RSD",https://planetasport.rs/trenerka-m-nk-club-pk-trk-suit-m-fb7351-010.html,"['-30%', '-20%']"
NIKE Patike air max sc M,"11.899,99 RSD",https://planetasport.rs/patike-air-max-sc-m-cw4555-003.html,"['-30%', '-20%']"
SKECHERS Patike max protect M,"13.499,99 RSD",https://planetasport.rs/patike-max-protect-m-237308-bbk.html,"['-20%', '-20%']"
RANG Cipele otis M,"9.999,99 RSD",https://planetasport.rs/rang-cipele-otis-m-xmf23201-23.html,"['-50%', '-50%']"
NIKE Patike air max sc leather M,"11.899,99 RSD",https://planetasport.rs/patike-air-max-sc-leather-m-dh9636-001.html,"['-20%', '-20%']"
ADIDAS Cipele terrex ax3 M,"12.999,99 RSD",https://planetasport.rs/cipele-terrex-ax3-m-if4881.html,"['-30%', '-50%']"
PROBALL Koš sa konstrukcijom portable basketball stand U,"39.999,99 RSD",https://planetasport.rs/kos-sa-konstrukcijom-portable-basketball-stand-u-cd-b100.html,['-34%']
GEOGRAPHICAL NORWAY jakna verveine men new 005 bs5 M,"24.999,99 RSD",https://planetasport.rs/jakna-verveine-men-new-005-bs5-m-wx2523h-gn.html,"['-50%', '-30%']"
ADIDAS Patike terrex swift solo 2 M,"14.399,99 RSD",https://planetasport.rs/patike-terrex-swift-solo-2-m-ie6901.html,"['-13%', '-40%']"
WINTRO Cipele janus M,"9.999,99 RSD",https://planetasport.rs/wintro-cipele-janus-m-wif243m307-01.html,"['-30%', '-20%']"
SKECHERS Patike max protect M,"13.499,99 RSD",https://planetasport.rs/patike-max-protect-m-237301-bkcc.html,"['-20%', '-20%']"
GRI SPORT cipele naxos M,"12.999,99 RSD",https://planetasport.rs/cipele-naxos-m-12905d1g.html,"['-50%', '-40%']"
SERGIO TACCHINI Patike st grafitte M,"11.999,99 RSD",https://planetasport.rs/sergio-tacchini-patike-st-grafitte-m-stf243m139-01.html,"['-30%', '-30%']"
GEOGRAPHICAL NORWAY Jakna arnold black men 001 pna M,"24.999,99 RSD",https://planetasport.rs/geographical-norway-jakna-arnold-black-men-001-pna-m-wy3195h-gn.html,"['-40%', '-20%']"
GEOGRAPHICAL NORWAY Jakna beachwood black men 068 pna M,"23.999,99 RSD",https://planetasport.rs/geographical-norway-jakna-beachwood-black-men-068-pna-m-wy3192h-gn.html,"['-30%', '-20%']"
SPALDING Spalding lopta oficijalna euroleague tf-1000 7 U,"14.999,99 RSD",https://planetasport.rs/lopta-oficijalna-euroleague-tf-1000-7-u-77-100z.html,['-20%']
